metric_id,category,label,status,with_low,with_high,without_low,without_high,delta_low,delta_high,unit,source_id,notes
mahomes_compensation,cost,Patrick Mahomes 2026 compensation,reported,56800000,56800000,10000000,10000000,46800000,46800000,USD/year,S08,"Replacement case uses a $10M scenario assumption; it is not a reported contract. Delta represents gross compensation savings."
nfl_media_rights,media,NFL national media-rights package,reported,10000000000,10000000000,10000000000,10000000000,0,0,USD/year,S03,"League-wide rights value; Mahomes' absence would not erase the package."
chiefs_schedule_media,media,Chiefs schedule broadcast-value proxy,modeled,625000000,625000000,469000000,531000000,94000000,156000000,USD/year,S03,"With-case allocates the approximate $10B rights package across 272 regular-season games and 17 Chiefs games; replacement range applies a 15%-25% demand discount."
chiefs_revenue,team,Kansas City Chiefs total revenue,reported_plus_modeled,644000000,644000000,550000000,580000000,64000000,94000000,USD/year,S01,"With-case reported by Forbes; replacement case assumes a 10%-15% reduction, rounded conservatively."
chiefs_local_revenue,team,Chiefs-controlled local revenue,derived,190800000,190800000,165000000,180000000,10800000,25800000,USD/year,S01|S02,"With-case equals $644M total revenue less $453.2M national distribution proxy; replacement case is modeled."
licensed_products,licensing,Mahomes-related licensed product retail activity,modeled,75000000,80000000,15000000,32000000,43000000,65000000,USD/year,S05|S06|S07,"Range is inferred from reported $8M+ group-licensing income and approximately 10.3%-10.5% public-license royalty benchmarks. The payout can include more than retail royalties, so this is directional. Replacement case assumes 20%-40% substitution to other Chiefs products."
hospitality_food_beverage,local,Local restaurants bars and food service,modeled,25000000,60000000,17000000,45000000,8000000,15000000,USD/year,S04|S09,"Scenario range informed by Chiefs regional impact and the $16M estimate for each home playoff game. Paired scenario delta is $8M-$15M; broad with/without ranges should not be cross-subtracted. This category is contained within regional economic activity."
regional_activity,local,Kansas City regional economic activity,reported_plus_modeled,993200000,993200000,943200000,968200000,25000000,50000000,USD/year,S04,"With-case is a team-commissioned Econsult estimate; replacement case assumes $25M-$50M less activity. Economic impact is not profit."
missouri_tax,government,Missouri direct indirect and induced tax revenue,reported_plus_modeled,28800000,28800000,27400000,28100000,700000,1400000,USD/year,S04,"With-case is reported; replacement case applies a directional reduction consistent with the activity scenario. This is Missouri tax revenue, not Kansas City government profit."
home_playoff_impact,local,Impact per Chiefs home playoff game,reported,16000000,16000000,0,16000000,0,16000000,USD/game,S09,"Visit KC estimate. The replacement case allows zero or one comparable home playoff game."
