source_id,title,publisher,url,accessed,used_for,quality_note
S01,Kansas City Chiefs team valuation and financial estimates,Forbes,https://www.forbes.com/teams/kansas-city-chiefs/,2026-09-15,"$644M Chiefs revenue; $51M operating income; $105M gate receipts","Independent financial estimate; Chiefs are privately held."
S02,Packers finances remain strong amidst changing NFL landscape,Green Bay Packers,https://www.packers.com/news/packers-finances-remain-strong-amidst-changing-nfl-landscape-2026,2026-09-15,"$453.2M national revenue distribution per club","Packers disclosure is commonly used as the proxy for equal NFL national distributions."
S03,NFL completes long-term media distribution agreements through 2033,NFL,https://www.nfl.com/news/nfl-completes-long-term-media-distribution-agreements-through-2033-season,2026-09-15,"Media partners and agreement term; approximate $10B annual value is reported by financial press","NFL source confirms structure but does not publish every financial term."
S04,Chiefs release record economic impact of nearly $1 billion for Kansas City region,Kansas City Chiefs,https://www.chiefs.com/news/chiefs-release-record-economic-impact-of-nearly-1-billion-for-the-kansas-city-region,2026-09-15,"$993.2M regional activity; $572.3M Jackson County activity; 5860 jobs; $28.8M Missouri taxes","Team-commissioned Econsult impact study; economic-impact estimates can overstate net new activity because of substitution and multiplier assumptions."
S05,2025 year-end NFLPA Top 50 player sales list,NFLPA,https://nflpa.com/partners/posts/things-to-know-about-the-2025-year-end-nflpa-top-50-player-sales-list,2026-09-15,"$1.9B licensed player merchandise retail sales; Mahomes top-10 streak","Official NFLPA ranking; individual retail totals are not disclosed."
S06,Shedeur Sanders banked record licensing income,Front Office Sports,https://frontofficesports.com/,2026-09-15,"Mahomes reported at more than $8M group-licensing income","Secondary report based on NFLPA reporting; homepage fallback retained because article routing changed."
S07,NFL IP licensing royalty-rate review,RoyaltySource,https://selfserve.royaltysource.com/royalty-rates-ip-blog/nfl-ip-licensing/,2026-09-15,"10.3%-10.5% average across seven public NFL licenses","Small public-license sample; used only to create a directional merchandise range."
S08,Patrick Mahomes earnings profile,Forbes,https://www.forbes.com/profile/patrick-mahomes/,2026-09-15,"2026 on-field and off-field earnings context","Independent estimate, not audited player financial statements."
S09,Chiefs home playoff game economic impact,Visit KC via KMBC,https://www.kmbc.com/,2026-09-15,"$16M direct impact per home playoff weekend","Local tourism estimate; publisher homepage retained where direct article routing was unavailable."
S10,Chiefs vs Cowboys breaks viewership record at nearly 60 million,Kansas City Chiefs,https://www.chiefs.com/news/chiefs-vs-cowboys-breaks-viewership-record-at-nearly-60-million,2026-09-15,"57.2M regular-season viewers and NFL/CBS statements describing Chiefs as a national draw","Team source quoting network and NFL executives."

